Time,TrueAlt,EstAlt,TrueVel,EstVel,EstAngle,TrueLat,TrueLon,EstLat,EstLon
0.01,0.00846344,0.00848167,0.846344,0.848167,-0.000855362,28.6084,-80.6043,28.6084,-80.6043
0.02,0.0253903,0.0254174,1.69269,1.69357,6.24304e-05,28.6084,-80.6043,28.6084,-80.6043
0.03,0.0507806,0.0508132,2.53903,2.53958,-0.00075866,28.6084,-80.6043,28.6084,-80.6043
0.04,0.0846342,0.0846772,3.38536,3.3864,-0.000904331,28.6084,-80.6043,28.6084,-80.6043
0.05,0.126951,0.127006,4.23169,4.23284,-0.00087225,28.6084,-80.6043,28.6084,-80.6043
0.06,0.177731,0.177795,5.078,5.07889,-0.000494876,28.6084,-80.6043,28.6084,-80.6043
0.07,0.236974,0.237033,5.9243,5.92381,0.00020241,28.6084,-80.6043,28.6084,-80.6043
0.08,0.30468,0.304717,6.77059,6.76848,0.000873329,28.6084,-80.6043,28.6084,-80.6043
0.09,0.380849,0.38085,7.61686,7.61325,0.00170566,28.6084,-80.6043,28.6084,-80.6043
0.1,0.46548,0.58781,8.46311,8.46006,0.00137472,28.6084,-80.6043,28.6084,-80.6043
0.11,0.558573,0.680855,9.30933,9.30452,0.00145752,28.6084,-80.6043,28.6084,-80.6043
0.12,0.660128,0.782346,10.1555,10.1491,0.00222882,28.6084,-80.6043,28.6084,-80.6043
0.13,0.770145,0.892294,11.0017,10.9948,0.00190963,28.6084,-80.6043,28.6084,-80.6043
0.14,0.888624,1.01072,11.8479,11.8423,0.00102669,28.6084,-80.6043,28.6084,-80.6043
0.15,1.01556,1.1376,12.694,12.6881,0.000175717,28.6084,-80.6043,28.6084,-80.6043
0.16,1.15096,1.27293,13.54,13.5335,0.000651032,28.6084,-80.6043,28.6084,-80.6043
0.17,1.29482,1.41672,14.3861,14.3789,0.000226456,28.6084,-80.6043,28.6084,-80.6043
