Time,TrueAlt,EstAlt,TrueVel,EstVel,EstAngle,TrueLat,TrueLon,EstLat,EstLon
0.01,0.00846344,0.00846686,0.846344,0.846686,0.000388015,28.6084,-80.6043,28.6084,-80.6043
0.02,0.0253903,0.0253959,1.69269,1.69291,-0.000590497,28.6084,-80.6043,28.6084,-80.6043
0.03,0.0507806,0.0507914,2.53903,2.53955,-0.000855055,28.6084,-80.6043,28.6084,-80.6043
0.04,0.0846342,0.0846328,3.38536,3.38414,-9.28981e-05,28.6084,-80.6043,28.6084,-80.6043
0.05,0.126951,0.126931,4.23169,4.22981,-0.000395324,28.6084,-80.6043,28.6084,-80.6043
0.06,0.177731,0.177686,5.078,5.07549,0.0005918,28.6084,-80.6043,28.6084,-80.6043
0.07,0.236974,0.236919,5.9243,5.9233,0.00073868,28.6084,-80.6043,28.6084,-80.6043
0.08,0.30468,0.304623,6.77059,6.77043,0.000536408,28.6084,-80.6043,28.6084,-80.6043
0.09,0.380849,0.380808,7.61686,7.61851,0.000468713,28.6084,-80.6043,28.6084,-80.6043
0.1,0.46548,0.0179274,8.46311,8.46497,-0.00017532,28.6084,-80.6043,28.6084,-80.6043
0.11,0.558573,0.111052,9.30933,9.31247,6.20158e-05,28.6084,-80.6043,28.6084,-80.6043
0.12,0.660128,0.212634,10.1555,10.1582,-7.92526e-05,28.6084,-80.6043,28.6084,-80.6043
0.13,0.770145,0.322659,11.0017,11.0025,-6.40444e-05,28.6084,-80.6043,28.6084,-80.6043
0.14,0.888624,0.441125,11.8479,11.8467,-0.000796137,28.6084,-80.6043,28.6084,-80.6043
0.15,1.01556,0.568042,12.694,12.6916,-0.00120437,28.6084,-80.6043,28.6084,-80.6043
0.16,1.15096,0.703427,13.54,13.5385,-0.00105613,28.6084,-80.6043,28.6084,-80.6043
0.17,1.29482,0.847283,14.3861,14.3856,-0.000617204,28.6084,-80.6043,28.6084,-80.6043
0.18,1.44715,0.999585,15.2321,15.2302,-0.00135171,28.6084,-80.6043,28.6084,-80.6043
0.19,1.60793,1.16036,16.078,16.0773,-0.00229098,28.6084,-80.6043,28.6084,-80.6043
0.2,1.77717,0.768636,16.924,16.9231,-0.00302494,28.6084,-80.6043,28.6084,-80.6043
0.21,1.95486,0.94632,17.7698,17.7685,-0.00400243,28.6084,-80.6043,28.6084,-80.6043
0.22,2.14102,1.13248,18.6157,18.6161,-0.0046604,28.6084,-80.6043,28.6084,-80.6043
0.23,2.33564,1.3271,19.4614,19.4615,-0.00385935,28.6084,-80.6043,28.6084,-80.6043
0.24,2.53871,1.53017,20.3071,20.3078,-0.00293625,28.6084,-80.6043,28.6084,-80.6043
0.25,2.75023,1.74169,21.1528,21.1517,-0.00302672,28.6084,-80.6043,28.6084,-80.6043
0.26,2.97022,1.96168,21.9984,21.9992,-0.00263237,28.6084,-80.6043,28.6084,-80.6043
0.27,3.19866,2.19014,22.844,22.8461,-0.00281824,28.6084,-80.6043,28.6084,-80.6043
0.28,3.43555,2.42707,23.6894,23.6925,-0.00314254,28.6084,-80.6043,28.6084,-80.6043
0.29,3.6809,2.67245,24.5349,24.5376,-0.00240871,28.6084,-80.6043,28.6084,-80.6043
0.3,3.9347,2.79121,25.3802,25.3831,-0.00197344,28.6084,-80.6043,28.6084,-80.6043
0.31,4.19696,3.0535,26.2255,26.2287,-0.00200812,28.6084,-80.6043,28.6084,-80.6043
0.32,4.46767,3.32423,27.0707,27.0731,-0.00248238,28.6084,-80.6043,28.6084,-80.6043
0.33,4.74682,3.60341,27.9158,27.9187,-0.00332372,28.6084,-80.6043,28.6084,-80.6043
0.34,5.03443,3.89104,28.7609,28.7629,-0.00415589,28.6084,-80.6043,28.6084,-80.6043
0.35,5.33049,4.18711,29.6059,29.6068,-0.00382568,28.6084,-80.6043,28.6084,-80.6043
0.36,5.635,4.49163,30.4508,30.4518,-0.00437846,28.6084,-80.6043,28.6084,-80.6043
0.37,5.94795,4.8046,31.2956,31.2971,-0.00394446,28.6084,-80.6043,28.6084,-80.6043
0.38,6.26936,5.12602,32.1403,32.1423,-0.00392257,28.6084,-80.6043,28.6084,-80.6043
0.39,6.59921,5.45589,32.9849,32.9864,-0.00373201,28.6084,-80.6043,28.6084,-80.6043
0.4,6.9375,5.24806,33.8295,33.8313,-0.00311416,28.6084,-80.6043,28.6084,-80.6043
0.41,7.28424,5.59482,34.6739,34.6761,-0.00283581,28.6084,-80.6043,28.6084,-80.6043
0.42,7.63942,5.95004,35.5183,35.5223,-0.00379663,28.6084,-80.6043,28.6084,-80.6043
0.43,8.00305,6.31373,36.3625,36.3685,-0.00399303,28.6084,-80.6043,28.6084,-80.6043
0.44,8.37512,6.68587,37.2067,37.2142,-0.00396006,28.6084,-80.6043,28.6084,-80.6043
0.45,8.75562,7.06643,38.0508,38.0567,-0.00403579,28.6084,-80.6043,28.6084,-80.6043
0.46,9.14457,7.45545,38.8947,38.9012,-0.0038316,28.6084,-80.6043,28.6084,-80.6043
0.47,9.54196,7.85291,39.7386,39.7461,-0.00304572,28.6084,-80.6043,28.6084,-80.6043
0.48,9.94778,8.25879,40.5823,40.5887,-0.0023726,28.6084,-80.6043,28.6084,-80.6043
0.49,10.362,8.67311,41.4259,41.4311,-0.00276977,28.6084,-80.6043,28.6084,-80.6043
0.5,10.7847,8.7013,42.2694,42.2728,-0.00206721,28.6084,-80.6043,28.6084,-80.6043
0.51,11.2159,9.13248,43.1128,43.1175,-0.00214381,28.6084,-80.6043,28.6084,-80.6043
0.52,11.6554,9.57209,43.9561,43.9611,-0.00133131,28.6084,-80.6043,28.6084,-80.6043
